service_date,unique_patients,non_hospital_ammount,unique_service_codes,total_racords,EMA_7,total_amount_net
2022-01-01,33,159311.2,57,80,159311.2,159311.2
2022-01-02,84,486975.29,158,347,361936.39428571425,513905.29
2022-01-03,163,882060.12,217,607,592401.6681081081,894887.34
2022-01-04,150,871642.62,219,558,705066.8336,900470.48
2022-01-05,176,1118811.58,267,798,860066.9852496799,1177938.39
2022-01-06,172,966660.06,217,559,902696.34999703,1000236.0
2022-01-07,133,684323.87,195,462,850793.2384334718,722796.82
2022-01-08,195,1239116.97,268,816,966532.1040447647,1267400.88
2022-01-09,191,1179325.4,242,661,1028239.9389590903,1194830.19
2022-01-10,295,1449152.33,328,994,1204469.097532902,1693460.24
2022-01-11,347,1888620.58,351,1171,1429106.0269201824,2065066.53
2022-01-12,344,2018028.28,338,1267,1612727.919395513,2140327.71
2022-01-13,332,2000301.63,346,1192,1737532.476869194,2100086.09
2022-01-14,381,2275610.82,377,1518,1892848.6404807903,2347727.47
2022-01-15,292,1709101.45,278,930,1858393.4903046142,1756869.8
2022-01-16,243,1412408.87,280,903,1760553.7571338569,1470956.99
2022-01-17,365,2333356.68,353,1283,1935820.5313713355,2456350.97
2022-01-18,391,2396744.89,377,1385,2085301.9237863235,2530375.17
2022-01-19,360,2193010.01,332,1300,2134246.2909550886,2280251.59
2022-01-20,346,1951571.46,352,1159,2128124.2489235355,2109835.78
2022-01-21,403,2273257.56,348,1370,2194674.051839808,2393690.33
2022-01-22,279,1599692.89,284,1159,2066155.358872254,1681516.29
2022-01-23,282,1490742.03,280,933,1930290.531710857,1523423.12
2022-01-24,395,2258079.57,382,1398,2058497.0225577843,2442601.93
2022-01-25,383,2253952.82,377,1386,2155433.193099339,2445949.91
2022-01-26,342,1960933.13,404,1256,2157074.9189270283,2161996.39
2022-01-27,336,1981009.65,372,1235,2156031.3074285807,2152902.24
2022-01-28,355,2079636.18,383,1324,2181583.940502767,2258209.39
2022-01-29,307,1807959.48,325,1078,2107841.254046299,1886683.43
2022-01-30,262,1427501.32,272,853,1957261.2271387812,1505628.71
2022-01-31,362,2026291.33,383,1400,2032668.8076865978,2258851.15
2022-02-01,391,2335978.54,350,1353,2158216.029787951,2534807.25
2022-02-02,368,2288334.77,402,1427,2254615.437506721,2543784.61
2022-02-03,398,2532618.08,395,1567,2355963.727263412,2659985.69
2022-02-04,376,2131416.98,383,1402,2357370.462562704,2361590.43
2022-02-05,341,2065293.41,336,1229,2300424.7619726746,2129594.9
2022-02-06,285,1621858.73,282,1020,2144250.3061191435,1675741.83
2022-02-07,387,2348217.96,415,1539,2239783.982576119,2526378.18
2022-02-08,375,2288488.84,396,1525,2289427.790094993,2438356.55
2022-02-09,396,2455983.15,441,1512,2369001.520311239,2607719.51
2022-02-10,382,2300325.15,401,1455,2385551.91506377,2435202.6
2022-02-11,389,2196006.73,344,1416,2379470.674397288,2361227.09
2022-02-12,361,2191263.42,360,1408,2349085.1143835243,2257928.95
2022-02-13,271,1616863.83,340,1085,2185063.7088770424,1693001.58
2022-02-14,428,2350213.4,412,1599,2264229.113084024,2501724.57
2022-02-15,403,2394868.86,410,1433,2334760.0985533325,2546352.55
2022-02-16,433,2539751.75,423,1679,2430684.722683455,2718458.08
2022-02-17,420,2389880.64,428,1539,2450536.039498779,2510089.91
2022-02-18,389,2074975.4,382,1365,2396223.263612749,2233285.1
2022-02-19,345,1949502.91,303,1187,2299470.9579166356,2009214.26
2022-02-20,274,1566508.45,294,978,2125452.374524608,1603396.92
2022-02-21,377,1985757.72,389,1319,2129244.259601383,2140619.91
2022-02-22,390,2055680.65,387,1406,2153139.675410057,2224825.9
2022-02-23,283,1532904.71,295,1082,2021512.0479714891,1626629.26
2022-02-24,368,1952114.96,332,1140,2030215.1321482311,2056324.38
2022-02-25,352,1961573.7,379,1195,2041079.5727062337,2073672.89
2022-02-26,336,1968567.66,330,1363,2033200.9489340922,2009565.08
2022-02-27,298,1770992.44,335,1156,1973991.0708435993,1796361.45
2022-02-28,376,2090842.94,351,1285,2023021.2477175647,2170111.77
2022-03-01,349,2038142.3,376,1263,2066846.4346858272,2198321.99
2022-03-02,397,2310399.24,370,1415,2157277.913177371,2428572.34
2022-03-03,380,2237168.57,441,1603,2265554.0018253936,2590382.26
2022-03-04,409,2314260.51,378,1485,2341068.462385036,2567611.84
2022-03-05,326,1948328.39,393,1268,2300208.8538764752,2177630.03
2022-03-06,269,1581177.63,271,966,2135631.871661835,1641900.93
2022-03-07,282,1662168.07,284,1145,2030065.52064718,1713366.47
2022-03-08,216,1184754.0,251,845,1847873.0372097897,1301295.59
2022-03-09,398,2318552.32,417,1467,2018137.5634509556,2528931.14
2022-03-10,406,2313853.45,399,1467,2134407.280366632,2483216.43
2022-03-11,399,2318017.55,415,1587,2227143.4579415214,2505351.99
2022-03-12,383,2197133.36,355,1382,2239185.1209723605,2275310.11
2022-03-13,295,1726807.59,302,1059,2145866.9156349995,1865912.3
2022-03-14,416,2395084.09,415,1538,2266027.8093172903,2626510.49
2022-03-15,415,2325292.96,401,1631,2342708.824531541,2572751.87
2022-03-16,420,2670588.94,396,1619,2467195.95095171,2840657.33
2022-03-17,418,2426908.64,386,1519,2499679.043224165,2597128.32
2022-03-18,435,2517405.37,425,1600,2543023.879928515,2673058.39
2022-03-19,402,2359705.3,356,1439,2509895.2324404297,2410509.29
2022-03-20,285,1827136.0,329,1178,2351783.9068090017,1877449.93
2022-03-21,428,2503582.52,369,1472,2431615.1601148252,2671108.92
2022-03-22,433,2724843.12,429,1802,2556727.125095609,2932063.02
2022-03-23,464,2844927.52,422,1815,2685018.3013290055,3069891.83
2022-03-24,489,2794275.75,430,1783,2777522.5410007006,3055035.26
2022-03-25,469,2805886.81,453,1715,2854478.203252988,3085345.19
2022-03-26,410,2371738.74,334,1498,2760823.3324374934,2479858.72
2022-03-27,277,1553492.92,296,931,2476525.2118230024,1623630.85
2022-03-28,501,3049336.91,452,1918,2683649.178870048,3305021.08
2022-03-29,465,2763325.02,411,1806,2773004.1916534407,3041069.23
2022-03-30,480,2998816.9,457,1737,2889168.616240963,3237661.89
2022-03-31,516,2919065.7,435,1842,2942080.567181024,3100816.42
2022-04-01,454,2538099.6,444,1643,2901775.0178855956,2780858.37
2022-04-02,382,2378360.77,372,1460,2793702.0909138503,2469483.31
2022-04-03,302,1641403.96,299,1161,2523795.245684739,1714074.71
2022-04-04,491,2971837.46,434,1928,2682578.451763841,3158928.07
2022-04-05,459,2649045.46,421,1726,2719457.84132293,2830096.01
2022-04-06,472,2600979.54,447,1697,2753494.263492232,2855603.53
2022-04-07,476,2747497.34,416,1696,2807585.5851192153,2969859.55
2022-04-08,508,2841963.66,456,1848,2885635.3438394563,3119784.62
2022-04-09,412,2390845.75,361,1463,2793030.5728795524,2515216.26
2022-04-10,331,1893122.99,314,1221,2588453.9096595985,1974723.92
2022-04-11,454,2413030.39,383,1555,2599641.744744702,2633205.25
2022-04-12,487,2841267.92,427,1848,2713341.2860585465,3054439.91
2022-04-13,462,2556031.12,410,1624,2719486.1845439104,2737920.88
2022-04-14,454,2602169.24,417,1690,2748458.933407936,2835377.18
2022-04-15,463,2543052.72,412,1658,2729998.5375559507,2674617.35
2022-04-16,407,2324538.58,363,1497,2659424.060666959,2447700.63
2022-04-17,305,1655328.16,295,960,2419746.945500209,1700715.6
2022-04-18,523,2754876.36,416,1720,2572251.6616251618,3029765.81
2022-04-19,473,2651639.53,397,1574,2629928.756218873,2802960.04
2022-04-20,520,2837168.05,372,1636,2696033.1271641557,2894346.24
2022-04-21,482,2661292.71,406,1653,2726356.445373117,2817326.4
2022-04-22,478,2609117.56,412,1610,2737892.571529838,2772500.95
2022-04-23,407,2293397.13,318,1397,2635266.196147377,2327387.07
2022-04-24,272,1444169.09,259,968,2343907.572110531,1469831.7
2022-04-25,469,2635364.67,400,1707,2471306.8840828985,2853504.82
2022-04-26,496,2826056.7,381,1639,2595434.8280621744,2967818.66
2022-04-27,497,2675510.3,459,1687,2651775.776046631,2820798.62
2022-04-28,485,2671369.97,436,1825,2733878.3395349733,2980186.03
2022-04-29,461,2330104.53,403,1546,2699284.19215123,2595501.75
2022-04-30,340,1930098.44,310,1257,2523228.106613422,1995059.85
2022-05-01,164,880244.28,201,538,2126499.127460066,936312.19
2022-05-02,255,1644474.05,278,981,2025799.5780950496,1723700.93
2022-05-03,281,1785942.02,298,1091,1978941.1860712871,1838366.01
2022-05-04,383,2451458.03,403,1490,2141921.9645534656,2630864.3
2022-05-05,448,2480333.85,442,1733,2287385.198415099,2723774.9
2022-05-06,377,2167240.58,380,1344,2303127.8638113244,2350355.86
2022-05-07,270,1470846.52,267,933,2110152.207858493,1531225.24
2022-05-08,242,1468507.49,262,838,1958429.9758938698,1503263.28
2022-05-09,181,984572.54,212,645,1718630.2169204024,999230.94
2022-05-10,282,1660497.08,314,1177,1714201.887690302,1700916.9
2022-05-11,446,2431902.83,399,1510,1924354.3907677266,2554811.9
2022-05-12,481,2616279.54,412,1676,2130436.985575795,2748684.77
2022-05-13,424,2680270.17,412,1837,2316706.189181846,2875513.8
2022-05-14,388,2090600.39,351,1286,2284405.0393863847,2187501.59
2022-05-15,328,1819602.06,311,1104,2184830.819539788,1886108.16
2022-05-16,462,2802194.18,467,1703,2368736.962154841,2920455.39
2022-05-17,436,2520293.02,412,1721,2460994.239116131,2737766.07
2022-05-18,455,2520018.17,472,1742,2529866.271837098,2736482.37
2022-05-19,522,2827563.33,470,1802,2684376.9813778233,3147909.11
2022-05-20,464,2465971.12,429,1673,2699470.3235333674,2744750.35
2022-05-21,405,2217506.21,426,1519,2639177.1076500253,2458297.46
2022-05-22,319,1783484.83,367,1165,2457015.838237519,1910532.03
2022-05-23,472,2514453.76,429,1590,2525438.8986781393,2730708.08
2022-05-24,468,2663317.25,453,1782,2625557.364008604,2925912.76
2022-05-25,469,2570537.13,431,1690,2656351.5630064528,2748734.16
2022-05-26,491,2920824.11,488,1990,2798446.244754839,3224730.29
2022-05-27,453,2736877.24,457,1829,2850110.5485661295,3005103.46
2022-05-28,410,2355508.86,417,1523,2758262.488924597,2482718.31
2022-05-29,304,1564651.87,318,1093,2482023.741693448,1653307.5
2022-05-30,477,2467090.28,423,1521,2504170.301270086,2570609.98
2022-05-31,431,2283358.27,401,1527,2488107.7884525643,2439920.25
2022-06-01,473,2525229.31,477,1640,2561839.356339423,2783034.06
2022-06-02,417,2413617.41,425,1517,2580771.772254567,2637569.02
2022-06-03,456,2491711.59,399,1616,2592655.776690925,2628307.79
2022-06-04,343,2085909.75,350,1503,2491100.2700181934,2186433.75
2022-06-05,304,1725009.27,317,1065,2317689.595013645,1797457.57
2022-06-06,437,2555543.2,385,1506,2409137.9212602335,2683482.9
2022-06-07,455,2501113.69,409,1597,2472961.208445175,2664431.07
2022-06-08,456,2447723.06,473,1654,2512899.3288338813,2632713.69
2022-06-09,446,2419974.29,437,1591,2574508.159125411,2759334.65
2022-06-10,408,2322276.7,431,1736,2582556.5018440583,2606701.53
2022-06-11,288,1616192.32,298,1073,2349774.441383044,1651428.26
2022-06-12,221,1297495.98,264,730,2093767.5160372828,1325746.74
2022-06-13,269,1641661.71,319,1063,2000346.7295279622,1720084.37
2022-06-14,449,2294629.94,399,1546,2127855.4096459714,2510381.45
2022-06-15,455,2457274.34,459,1628,2252856.4497344783,2627859.57
2022-06-16,480,2750034.72,443,1751,2443499.8748008586,3015430.15
2022-06-17,422,2304516.88,440,1498,2473364.9111006437,2562960.02
2022-06-18,319,1874212.05,332,1221,2345850.585825483,1963307.61
2022-06-19,297,1729498.95,333,1170,2214625.999369112,1820952.24
2022-06-20,453,2516497.54,441,1541,2343641.814526834,2730689.26
2022-06-21,471,2648544.52,431,1681,2456883.403395125,2796608.17
2022-06-22,470,2515523.09,442,1738,2511646.897546344,2675937.38
2022-06-23,442,2310477.46,431,1741,2528475.2106597577,2578960.15
2022-06-24,432,2496536.47,425,1698,2581871.3729948183,2742059.86
2022-06-25,302,1654560.45,336,1160,2375918.8697461137,1758061.36
2022-06-26,272,1380461.03,262,829,2147113.369809585,1460696.87
2022-06-27,455,2441593.65,444,1707,2309825.9173571886,2797963.56
2022-06-28,484,2855075.23,411,1824,2506199.8130178913,3095321.5
2022-06-29,467,2517246.36,450,1680,2571680.077263418,2768120.87
2022-06-30,507,2511839.54,421,1640,2652211.8104475634,2893807.01
2022-07-01,376,2004670.68,367,1306,2551103.615335672,2247779.03
2022-07-02,278,1511025.92,314,1031,2314715.599001754,1605551.55
2022-07-03,229,1284902.6,278,923,2074745.4117513155,1354834.85
2022-07-04,410,2142778.5,385,1436,2126220.221313487,2280644.65
2022-07-05,424,2498590.4,384,1551,2252014.175985115,2629396.04
2022-07-06,377,2201214.0,402,1434,2287412.189488836,2393606.23
2022-07-07,388,2173476.42,399,1361,2285887.177116627,2281312.14
2022-07-08,391,1983076.8,339,1285,2238017.9403374703,2094410.23
2022-07-09,284,1613573.6,280,920,2091322.8177531026,1651237.45
2022-07-10,240,1310438.1,291,897,1912740.068314827,1376991.82
2022-07-11,436,2492721.64,402,1618,2094938.5912361203,2641534.16
2022-07-12,412,2510545.5,408,1649,2225215.6434270903,2616046.8
2022-07-13,400,2078167.98,369,1337,2216540.2600703174,2190514.11
2022-07-14,384,2127164.82,374,1314,2266146.592552738,2414965.59
2022-07-15,358,2023450.2,386,1385,2264759.639414553,2260598.78
2022-07-16,268,1664431.2,301,978,2138067.9745609146,1757992.98
2022-07-17,236,1373340.0,291,911,1969637.300920686,1464345.28
2022-07-18,422,2236101.9,406,1455,2094824.9756905145,2470388.0
2022-07-19,435,2462304.06,416,1750,2243531.1742678857,2689649.77
2022-07-20,409,2343044.58,434,1574,2344656.3682009145,2648031.95
2022-07-21,441,2508287.1,426,1539,2424395.4311506855,2663612.62
2022-07-22,392,2260789.52,397,1525,2433023.828363014,2458909.02
2022-07-23,321,1752529.2,342,1115,2293227.3737722603,1873838.01
2022-07-24,231,1346697.8,298,894,2074008.030329195,1416350.0
2022-07-25,426,2227888.1,385,1428,2160879.4327468965,2421493.64
2022-07-26,462,2595069.8,435,1640,2302232.2120601726,2726290.55
2022-07-27,429,2407459.1,417,1519,2372202.571545129,2582113.65
2022-07-28,380,2152322.72,423,1370,2372632.588658847,2373922.64
2022-07-29,386,2080332.4,417,1348,2357223.1789941355,2310994.95
2022-07-30,304,1765946.3,365,1113,2257687.8892456014,1959082.02
2022-07-31,257,1523741.1,301,1106,2106515.591934201,1652998.7
2022-08-01,371,2227423.12,384,1358,2181623.9089506506,2406948.86
2022-08-02,396,2317797.42,401,1484,2262083.5642129877,2503462.53
2022-08-03,424,2259029.23,420,1609,2306994.965659741,2441729.17
2022-08-04,419,2266900.92,397,1425,2346184.3842448057,2463752.64
2022-08-05,404,2160752.93,416,1546,2371412.803183604,2447098.06
2022-08-06,268,1370176.67,344,988,2167779.512387703,1556879.64
2022-08-07,254,1337576.89,293,870,1984251.3492907775,1433666.86
2022-08-08,401,2108320.6,363,1293,2063531.9869680833,2301373.9
2022-08-09,397,2220973.55,359,1360,2155160.9377260623,2430047.79
2022-08-10,377,2079509.45,386,1436,2198954.305794547,2330334.41
2022-08-11,419,2341528.75,425,1470,2298121.23684591,2595622.03
2022-08-12,390,2069146.87,372,1266,2287840.3101344323,2256997.53
2022-08-13,261,1615410.78,320,1102,2137277.875100824,1685590.57
2022-08-14,249,1384454.78,330,985,1975998.958825618,1492162.21
2022-08-15,380,2166068.37,402,1491,2076665.7966192137,2378666.31
2022-08-16,430,2136946.78,417,1485,2144193.1474644104,2346775.2
2022-08-17,412,2543955.68,455,1665,2314454.7705983077,2825239.64
2022-08-18,403,2544092.9,432,1788,2470844.0529487305,2940011.9
2022-08-19,363,2080997.42,364,1273,2414001.834711548,2243475.18
2022-08-20,305,1703559.43,319,1094,2258297.438533661,1791184.25
2022-08-21,232,1427902.3,286,908,2069619.2464002457,1503584.67
2022-08-22,341,2002736.46,352,1274,2095556.9398001842,2173370.02
2022-08-23,388,2269701.99,425,1447,2197589.9498501383,2503688.98
2022-08-24,432,2218591.07,449,1545,2263399.1698876037,2460826.83
2022-08-25,405,2131570.25,404,1553,2311296.4474157025,2454988.28
2022-08-26,412,2433926.14,437,1675,2402667.3705617767,2676780.14
2022-08-27,294,1704658.15,349,1147,2248591.2954213326,1786363.07
2022-08-28,206,1222512.84,299,844,2009499.9740659993,1292226.01
2022-08-29,386,2019380.85,390,1358,2068164.5655494994,2244158.34
2022-08-30,435,2437571.75,419,1552,2206973.6791621246,2623401.02
2022-08-31,407,2476372.98,417,1544,2302798.0543715935,2590271.18
2022-09-01,356,2056997.94,405,1436,2286851.518278695,2239011.91
2022-09-02,426,2426570.2,389,1453,2363395.1287090215,2593025.96
2022-09-03,308,1918111.76,348,1222,2264853.936531766,1969230.36
2022-09-04,257,1481596.2,302,931,2084886.8573988243,1544985.62
2022-09-05,407,2381288.25,396,1479,2199276.328049118,2542444.74
2022-09-06,427,2455462.0,438,1768,2338785.8710368383,2757314.5
2022-09-07,429,2385833.69,441,1548,2426561.7932776287,2689889.56
2022-09-08,411,2258652.92,431,1535,2463961.9849582217,2576162.56
2022-09-09,418,2295036.47,386,1541,2461408.158718666,2453746.68
2022-09-10,325,1882295.69,368,1302,2335919.6615389995,1959454.17
2022-09-11,254,1397456.95,284,933,2116967.71865425,1460111.89
2022-09-12,421,2605058.75,414,1734,2283036.0589906876,2781241.08
2022-09-13,431,2466146.41,373,1599,2374436.4042430157,2648637.44
2022-09-14,416,2399767.3,413,1598,2449171.9181822618,2673378.46
2022-09-15,458,2791464.3,464,1851,2582680.433636696,2983205.98
2022-09-16,480,2695973.7,440,1842,2654219.162727522,2868835.35
2022-09-17,371,2160213.6,377,1461,2548562.0820456413,2231590.84
2022-09-18,268,1538895.03,316,1090,2327768.771534231,1665388.84
2022-09-19,436,2421588.29,411,1471,2383318.028650673,2549965.8
2022-09-20,444,2764266.01,436,1815,2527402.058988005,2959654.15
2022-09-21,444,2632587.86,434,1867,2628007.594241004,2929824.2
2022-09-22,454,2564110.59,462,1677,2674349.230680753,2813374.14
2022-09-23,469,2653106.37,467,1846,2746373.5005105645,2962446.31
2022-09-24,358,2023947.28,332,1218,2593751.8728829236,2135886.99
2022-09-25,282,1639653.37,310,1104,2363540.5246621924,1672906.48
2022-09-26,439,2393196.42,399,1467,2412205.7359966445,2558201.37
2022-09-27,467,2623457.57,399,1596,2522355.3594974834,2852804.23
2022-09-28,418,2293170.25,391,1591,2513826.7521231123,2488240.93
2022-09-29,469,2535672.87,435,1649,2584677.099092334,2797228.14
2022-09-30,474,2605297.24,427,1669,2635426.5543192504,2787674.92
2022-10-01,319,1953716.63,332,1226,2476822.5807394376,2001010.66
2022-10-02,257,1526133.79,332,1077,2254203.870554578,1586347.74
2022-10-03,412,2608706.99,401,1547,2369178.2954159332,2714101.57
2022-10-04,423,2644520.32,428,1732,2493326.36406195,2865770.57
2022-10-05,487,2645881.91,381,1791,2566900.8930464624,2787624.48
2022-10-06,439,2530260.44,406,1661,2593891.719784847,2674864.2
2022-10-07,436,2532778.58,382,1656,2609587.249838635,2656673.84
2022-10-08,345,2119557.54,354,1538,2509920.984878976,2210922.19
2022-10-09,269,1426576.36,286,971,2258253.141159232,1503249.61
2022-10-10,448,2638890.16,408,1790,2398109.380869424,2817678.1
2022-10-11,468,2655356.96,433,1701,2515687.143152068,2868420.43
2022-10-12,459,2676447.68,449,1747,2614556.377364051,2911164.08
2022-10-13,476,2549240.76,383,1583,2647880.835523038,2747854.21
2022-10-14,459,2514460.15,421,1697,2677901.6291422783,2767964.01
2022-10-15,373,2165046.3,374,1343,2581175.714356709,2290997.97
2022-10-16,300,1700841.83,314,1079,2370585.9357675314,1738816.6
2022-10-17,470,2709791.14,352,1633,2468082.9818256483,2760574.12
2022-10-18,479,2845986.3,414,1658,2592589.071369236,2966107.34
2022-10-19,483,2734439.18,396,1688,2670182.2435269267,2902961.76
2022-10-20,518,2778336.81,476,2087,2791208.610145195,3154287.71
2022-10-21,477,2608936.77,442,1799,2794833.912608896,2805709.82
2022-10-22,363,2159907.98,357,1443,2649732.626956672,2214428.77
2022-10-23,311,1619274.13,352,1178,2405950.832717504,1674605.45
2022-10-24,466,2419827.62,392,1690,2475738.2595381276,2685100.54
2022-10-25,494,2698271.43,492,1819,2628184.9746535956,3085525.12
2022-10-26,476,2468375.35,463,1744,2689238.3934901967,2872398.65
2022-10-27,506,2484995.79,462,1875,2735775.137617647,2875385.37
2022-10-28,447,2387164.29,477,1757,2742013.1407132354,2760727.15
2022-10-29,346,1930343.61,370,1330,2599721.350534926,2172845.98
2022-10-30,308,1624327.23,339,1081,2389656.1504011946,1759460.55
2022-10-31,446,2538997.53,456,1708,2476820.962800896,2738315.4
2022-11-01,410,2396036.88,462,1559,2555088.599600672,2789891.51
2022-11-02,451,2535923.69,439,1690,2615038.472200504,2794888.09
2022-11-03,437,2529424.78,454,1631,2662869.9166503777,2806364.25
2022-11-04,320,1862475.83,347,1169,2479759.0874877833,1930426.6
2022-11-05,299,1736361.97,342,1167,2317843.2181158373,1832095.61
2022-11-06,257,1394343.47,287,852,2103428.591086878,1460184.71
2022-11-07,438,2324926.7,372,1408,2182951.773315158,2421521.32
2022-11-08,445,2385367.92,404,1657,2276958.1174863684,2558977.15
2022-11-09,479,2737011.61,453,1888,2472873.943114776,3060621.42
2022-11-10,491,2714052.47,454,1796,2608263.594836082,3014432.55
2022-11-11,443,2665628.43,413,1683,2671927.9036270613,2862920.83
2022-11-12,376,2219606.68,354,1346,2584111.297720296,2320661.48
2022-11-13,288,1511891.21,299,1056,2329328.053290222,1564978.32
2022-11-14,462,2598165.47,449,2008,2480926.5874676662,2935722.19
2022-11-15,486,2714936.28,468,1894,2630345.7981007495,3078603.43
2022-11-16,476,2733367.97,517,2015,2797970.166075562,3300843.27
2022-11-17,521,2915779.76,512,1969,2921721.8870566715,3292977.05
2022-11-18,449,2580208.44,435,1623,2896131.170292503,2819359.02
2022-11-19,403,2098197.67,429,1548,2741318.390219377,2276880.05
2022-11-20,320,1809917.56,356,1281,2545644.6276645325,1958623.34
2022-11-21,496,3064617.69,454,1827,2731126.3307483993,3287571.44
2022-11-22,471,3042093.44,481,2028,2873674.2005612995,3301317.81
2022-11-23,465,2577711.04,470,1765,2895681.4554209746,2961703.22
2022-11-24,485,2920255.53,421,1815,2967230.5790657313,3181877.95
2022-11-25,518,2945205.47,412,1742,3011828.2392992983,3145621.22
2022-11-26,433,2522565.25,386,1706,2919126.6294744737,2641021.8
2022-11-27,368,2062158.92,362,1336,2736045.077105855,2186800.42
2022-11-28,472,2580751.57,426,1685,2770992.565329391,2875835.03
2022-11-29,560,3071595.07,477,1936,2925426.681497043,3388729.03
2022-11-30,507,2823406.98,484,1965,2982952.283622782,3155529.09
2022-12-01,467,2655459.74,461,1722,2975805.8027170864,2954366.36
2022-12-02,455,2604002.48,420,1718,2937092.8520378144,2820954.0
2022-12-03,423,2219689.14,340,1390,2771408.6715283603,2274356.13
2022-12-04,307,1598251.89,294,966,2496470.29364627,1671655.16
2022-12-05,527,3056301.85,448,1935,2692391.3277347023,3280154.43
2022-12-06,505,2981901.18,480,2017,2853296.4758010264,3336011.92
2022-12-07,498,2954228.57,462,1903,2949097.14935077,3236499.17
2022-12-08,476,2645031.53,455,1752,2947120.4970130776,2941190.54
2022-12-09,464,2649536.98,434,1700,2927754.720259808,2869657.39
2022-12-10,418,2235066.9,372,1503,2787014.917694856,2364795.51
2022-12-11,339,1809957.98,352,1210,2574916.485771142,1938621.19
2022-12-12,497,2689516.39,451,1698,2673845.3168283566,2970631.81
2022-12-13,472,2696244.78,480,1942,2760829.640121267,3021782.61
2022-12-14,450,2511990.27,449,1561,2786950.46009095,2865312.92
2022-12-15,470,2662322.61,428,1656,2811831.885068212,2886476.16
2022-12-16,426,2515599.43,424,1553,2801225.368801159,2769405.82
2022-12-17,392,2220933.82,401,1508,2697198.1166008688,2385116.36
2022-12-18,291,1577791.5,325,1024,2456892.0399506516,1735973.81
2022-12-19,440,2663707.99,426,1768,2540672.829962989,2792015.2
2022-12-20,467,2732402.12,455,1850,2638756.8999722414,2933009.11
2022-12-21,451,2354573.02,426,1658,2645774.5249791807,2666827.4
2022-12-22,431,2314357.62,398,1465,2644829.128734385,2641992.94
2022-12-23,391,1932567.69,374,1315,2524422.9965507886,2163204.6
2022-12-24,378,1957252.81,336,1156,2407431.1224130914,2056455.5
2022-12-25,294,1646044.87,323,1009,2231810.3818098186,1704948.16
2022-12-26,413,2312124.71,408,1310,2282491.606357364,2434535.28
2022-12-27,459,2683969.54,437,1656,2431649.107268023,2879121.61
2022-12-28,381,2141886.38,428,1370,2422531.337951017,2395178.03
2022-12-29,354,1914082.02,385,1155,2342134.115963263,2100942.45
2022-12-30,301,1468441.15,296,874,2139453.144472447,1531410.23
